-0.019442044585800300,0.02699700473535540,-0.00755496014958714,-0.01665281307280880,0.02180584807086840,-0.005153034998122870,-0.0535511098950578,-0.05217022176477720,0.10572133165984900,-0.29999558248256300,0.0897864470620914,0.21020913541496300,-0.25217352444744200,0.14132459610843700,0.11084892833925400,-7.9962095631045800,2.3897575264366300,2.7859420511487700,2.8205099855143400
-0.01948211785688750,0.02926222421016660,-0.00978010635312596,-0.020191628043335000,0.022244651280825200,-0.0020530232375613600,-0.016257365149617400,-0.013755310956786200,0.03001267610645230,0.025523266774386100,-0.011968361546258700,-0.013554905227751600,-0.01820634498788260,0.007031140188048550,0.011175204799870500,np.nan,np.nan,np.nan,np.nan
0.06990031317791280,-0.08026040252096860,0.01036008934270370,0.06507576839945480,-0.07265951141978210,0.0075837430201684000,-0.017006966636184200,0.053199185225258800,-0.03619221858904850,0.001701551118277340,-0.00079789076976764,-0.0009036603485093280,0.025484489177527300,-0.09947710865189170,0.07399261947423640,1.8750172915687800,-0.6575764979693510,-0.2854057486438290,-0.9320350449546190
-0.08891626129078670,0.12645518295448200,-0.03753892166382160,-0.08132412660988150,0.1049443445424880,-0.023620217932569700,0.012256500894463500,-0.026817041972032400,0.014560541077689700,-0.017866286742274400,0.008377853082527660,0.009488433659686540,0.024347738740934,-0.0014687254441096000,-0.02287901329682020,np.nan,np.nan,np.nan,np.nan
-0.0025570366521589800,-0.10218193266446600,0.1047389693166720,-0.11211670996319200,0.35178055914928200,-0.2396638491860500,0.9904537504665320,1.2905759849684200,-2.2810297354370600,0.00042538777956933500,-0.00019947269244191,-0.00022591508712733200,1.4250840571309200,-0.5099009307682740,-0.9151831263650450,3.185848755257250,0.6874927390518670,-1.536787863812950,-2.3365536304947800
-0.07252072543296650,0.04847027770745700,0.024050447725896600,-0.05318797004372320,0.057018223355221100,-0.0038302533117165000,-0.019393810165389600,-0.09675974793873200,0.11615355810402700,-0.012761633387193000,0.005984180773129370,0.0067774526138757800,-0.03704602127370320,0.015850684507296700,0.02119533676638820,np.nan,np.nan,np.nan,np.nan
np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,0.26944149748518000,-1.1189624852019400,0.849520987716881,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan
np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,-0.004360367789202260,-0.00714175251217532,0.011502120301379600,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan
np.nan,np.nan,np.nan,-0.6144211066108430,0.7631083867042520,-0.1486872800947800,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,0.9182085775630340,0.02804594251054880,-0.47175943713437000,-0.47449508293906100
np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,-4.625948141583860,3.9755600286381000,0.6503881130302240,-0.7142225154342250,0.7436660799056020,-0.0294435644701925,np.nan,np.nan,np.nan,np.nan
np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,-0.5728757689509390,0.30074607743010300,0.27212969152064700,np.nan,np.nan,np.nan,np.nan
